Play_no,yd_line,Down,Distance,Play,yds_gained
1,-8,1,10,DOLL,13
2,-21,1,10,DOOR,9
3,-30,2,1,CHIN,0
4,-30,3,1,WILD,0
5,-25,1,10,COLA,3
6,-28,2,7,SHAMPOO,0
7,-28,3,7,TARHEEL,12
8,-40,1,10,WIRE,-1
10,-39,3,11,CRIPPLE,5
11,-44,3,6,CHIN,0
12,5,1,5,ROCK,5
13,-34,1,10,COLA,18
14,48,1,10,DOVER,21
15,27,1,10,WALL,5
16,22,2,5,SNIPED,0
17,22,3,5,DOLL,-5
18,27,3,10,SPOCK,7
19,20,4,3,TORNADO,4
20,16,1,10,RAM,14
21,2,1,2,SKOAL,2
22,-18,1,10,DOVER,5
23,-23,1,5,COLA,3
24,-26,2,2,DOVER,0
25,-26,3,2,Q DOLL,9
26,-35,1,10,PARROT,7
27,-42,2,3,SLICE,0
28,-42,3,3,GOBBLER,19
29,39,1,10,DOLL,13
30,26,1,10,CORK,-10
31,36,1,20,ROBBER,0
32,36,2,20,CORK,7
33,29,3,13,WIRE,5
34,24,3,8,WIRE,5
35,19,4,3,ROLL,2
36,-19,1,10,DOOR,18
37,-37,1,10,RAT,0
38,-37,2,10,ROCK,63
39,-23,1,10,RANDY,7
40,-30,2,3,WIRE,6
41,-36,1,10,BACKACHE,0
42,-36,2,10,SMASH,0
43,-36,3,10,SHAPE,0
44,-43,1,10,DOVER,-18
45,-25,2,28,ROCK,2
46,-27,3,26,X DOVER,14
47,-31,1,10,DOLL,5
48,-36,2,5,CORK,0
49,-36,3,5,SPOCK,9
50,-45,1,10,DOOR,6
51,49,2,4,ROLL,3
52,46,3,1,DOOR,14
53,32,1,10,GIANT,21
54,11,1,10,CAVE,11
55,-12,1,10,CORK,0
56,-18,1,10,GLIZZY,13
57,-31,1,10,DOLL,1
58,-32,2,9,DOOR,31
59,37,1,10,Q DOLL,3
60,34,2,7,DOLL,1
61,33,3,6,DOLL,13
62,20,1,10,PIEROGI,0
63,20,2,10,BLAZERS,1
64,19,3,9,TARHEEL,0
65,19,4,9,CROSS,0
66,-20,1,10,SMASH,16
68,50,1,10,WOLF,0
69,50,1,10,WOLF,27
70,23,1,10,COLA,3
71,20,2,7,GOBBLER,8
72,12,1,10,CROW,0
73,12,2,10,SMASH,0
74,12,3,10,CRIPPLE,0
75,12,4,10,CRIPPLE,0
